,Name,Link2,Link,Code,happy,sad,surprise,fear,disgust,angry,neutral
93,Muskurane (Romantic) ,https://www.youtube.com/watch?v=8MUgi5liyMU,https://www.youtube.com/embed/8MUgi5liyMU,8MUgi5liyMU,1,0,1,0,1,0,1
94,"LO MAAN LIYA Full Video Song | Raaz Reboot | Arijit Singh|Emraan Hashmi Kriti Kharbanda Gaurav Arora ",https://www.youtube.com/watch?v=KSGYVl4ZgRs,https://www.youtube.com/embed/KSGYVl4ZgRs,KSGYVl4ZgRs,1,0,1,0,0,0,1
95,Tere Sang Yaara - Full Video | Rustom | Akshay Kumar & Ileana D'cruz | Arko ft. Atif Aslam | Manoj M ,https://www.youtube.com/watch?v=gIOea2pgfIo,https://www.youtube.com/embed/gIOea2pgfIo,gIOea2pgfIo,1,0,1,0,0,1,1
96, Galliyan Song | Ek Villain | Ankit Tiwari | Sidharth Malhotra | Shraddha Kapoor ,https://www.youtube.com/watch?v=FxAG_11PzCk,https://www.youtube.com/embed/FxAG_11PzCk,FxAG_11PzCk,1,0,1,0,0,0,1
97,"Bekhayali Full Song | Kabir Singh | Shahid K Kiara A|Sandeep Reddy Vanga | Sachet-Parampara | Irshad ",https://www.youtube.com/watch?v=VOLKJJvfAbg,https://www.youtube.com/embed/VOLKJJvfAbg,VOLKJJvfAbg,1,0,1,0,0,0,1
98,"Challa | Full Song | Jab Tak Hai Jaan | Shah Rukh Khan Katrina Kaif | Rabbi | A. R. Rahman | Gulzar ",https://www.youtube.com/watch?v=1GWyCJHuNms,https://www.youtube.com/embed/1GWyCJHuNms,1GWyCJHuNms,1,0,1,0,1,1,1
99,"Tum Hi Aana Full Video | Marjaavaan | Riteish D Sidharth M Tara S | Jubin N | Payal Dev Kunaal V ",https://www.youtube.com/watch?v=RemShT6JAHw,https://www.youtube.com/embed/RemShT6JAHw,RemShT6JAHw,1,0,0,0,0,0,1
100,"Nazm Nazm - Lyrical | Bareilly Ki Barfi | Kriti Sanon Ayushmann Khurrana & Rajkummar Rao | Arko ",https://www.youtube.com/watch?v=DK_UsATwoxI,https://www.youtube.com/embed/DK_UsATwoxI,DK_UsATwoxI,1,0,0,0,0,1,1
101,Pal,https://www.youtube.com/watch?v=6PL39H2B7UQ,https://www.youtube.com/embed/6PL39H2B7UQ,6PL39H2B7UQ,1,0,0,1,0,0,1
102,Ankh Hai Bhari Bhari (Male Version) ,https://www.youtube.com/watch?v=kq0BmZ9xJps,https://www.youtube.com/embed/kq0BmZ9xJps,kq0BmZ9xJps,0,1,0,1,1,0,0
